Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
209,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Special,83000,148000,15 km,26 km/h,148,127273,350,397,303,4,82%,843487,7810,Burrard; Lynn Valley Centre NightBus; Phibbs,Expo/Millennium Line,39400.46226,2022,294,39400.46204
210,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,81000,146000,9.7 km,23 km/h,80,747338,2367,1519,1199,1478,83%,3275118,30325,Burrard; Lynn Valley Centre NightBus; Phibbs,Expo/Millennium Line,42150.63227,2022,295,42150.63207
211,SEYMOUR/PHIBBS EXCH/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,76000,145000,13.4 km,27 km/h,104,492012,1476,1153,992,175,83%,2802958,25953,Burrard; Deep Cove; Phibbs,Expo/Millennium Line,54967.60744,2022,296,54967.60742
212,DEEP COVE/PHIBBS EXCH,North Shore,Std. Bus,Standard,11000,8000,8.8 km,33 km/h,129,251524,766,539,502,35,93%,1175693,10886,Deep Cove; Phibbs,None,16584.50565,2022,297,16584.50601
214,BLUERIDGE/PHIBBS EXCH/BURRARD STN,North Shore,Mini-Bus,Standard,68000,143000,9.1 km,25 km/h,163,76999,202,243,218,0,90%,981965,9929,Burrard; Phibbs,Expo/Millennium Line,39071.82206,2022,298,39071.82195
215,INDIAN RIVER/PHIBBS EXCH,North Shore,Mini-Bus,Peak Frequent,11000,8000,7.3 km,28 km/h,139,171705,566,320,211,16,93%,967479,10823,Phibbs,None,16215.89172,2022,299,16215.89155
227,LYNN VALLEY/PHIBBS EXCHANGE,North Shore,Mini-Bus,Basic,19000,10000,7.5 km,24 km/h,152,102972,268,332,297,0,87%,741934,8235,Lynn Valley Centre NightBus; Phibbs,None,12843.01488,2022,300,12843.01508
228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent,41000,17000,5.8 km,22 km/h,102,503428,1500,1246,1003,10,86%,2147431,19884,Lonsdale Quay; Lynn Valley Centre NightBus,None,17683.33885,2022,301,17683.33915
229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard,49000,21000,6.3 km,17 km/h,86,671972,1983,1757,1335,44,85%,2210112,20464,Lonsdale Quay; Lynn Valley Centre NightBus,None,11389.79558,2022,302,11389.79564
230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard,41000,18000,6.2 km,17 km/h,93,582487,1785,1440,960,152,85%,1813804,16794,Lonsdale Quay,None,12982.03959,2022,303,12982.03987
232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard,47000,21000,12.1 km,21 km/h,94,575347,1754,1322,1071,73,80%,2271519,21033,Edgemont Village; Phibbs,None,28052.03365,2022,304,28052.0338
236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Basic,28000,20000,7.2 km,23 km/h,106,460453,1117,1715,1465,195,86%,2247165,20807,Lonsdale Quay,None,18134.34937,2022,305,18134.34986
240,LYNN VALLEY/DOWNTOWN,North Shore,Std. Bus,All Day Frequent,95000,157000,11 km,19 km/h,24,2619790,7856,6712,4820,3934,77%,6695653,61997,Lynn Valley Centre NightBus; Vancouver City Centre,Canada Line; Expo/Millennium Line,29368.67085,2022,306,29368.67108
241,UPPER LONSDALE/DOWNTOWN,North Shore,Std. Bus,Peak Only - Limited,88000,156000,10.3 km,19 km/h,133,223981,892,0,0,328,78%,923512,8551,Vancouver City Centre,Canada Line; Expo/Millennium Line,26096.34765,2022,307,26096.34759
246/249,LONSDALE QUAY/DELBROOK - HIGHLAND/DOWNTOWN,North Shore,Std. Bus,Peak Frequent,96000,158000,7.7 km,21 km/h,67,965891,2982,2195,1666,454,78%,3853467,35680,Edgemont Village; Lonsdale Quay; Vancouver City Centre,Canada Line; Expo/Millennium Line,32087.58991,2022,308,32087.59013
247,GROUSE MOUNTAIN/DOWNTOWN,North Shore,Std. Bus,Peak Only - Limited,70000,140000,16.3 km,26 km/h,176,50240,200,0,0,19,83%,295916,2740,Vancouver City Centre,Canada Line; Expo/Millennium Line,26906.35605,2022,309,26906.35609
250,HORSESHOE BAY/DUNDARAVE/VANCOUVER,North Shore,Std. Bus,All Day Frequent,86000,156000,10.1 km,24 km/h,36,1867060,5405,5073,3978,6890,70%,7352381,68078,Horseshoe Bay; Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,47213.2795,2022,310,47213.27916
251,QUEENS/PARK ROYAL,North Shore,Mini-Bus,Basic,17000,13000,9.7 km,25 km/h,171,62977,205,118,87,3,70%,765460,8569,Park Royal,None,16764.6239,2022,311,16764.62369
252,INGLEWOOD/PARK ROYAL,North Shore,Mini-Bus,Basic,16000,10000,6.8 km,22 km/h,180,44232,141,87,68,0,76%,654214,7325,Park Royal,None,12744.7088,2022,312,12744.70868
253,CAULFEILD/VANCOUVER/PARK ROYAL,North Shore,Std. Bus,Basic,80000,155000,13.9 km,25 km/h,128,252430,915,222,180,2811,71%,1185781,10979,Caulfeild; Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,38833.62245,2022,313,38833.62196
254,BRITISH PROPERTIES/PARK ROYAL/VAN,North Shore,Std. Bus,Basic,76000,148000,12.8 km,27 km/h,144,147651,496,228,180,994,74%,828016,7667,Park Royal; Vancouver City Centre,Canada Line; Expo/Millennium Line,48216.8763,2022,314,48216.87598
255,DUNDARAVE/CAPILANO UNIVERSITY,North Shore,Std. Bus,Standard,60000,38000,13.5 km,23 km/h,71,858164,2678,1860,1439,89,62%,3495433,32365,Capilano University; Park Royal,None,31046.96216,2022,315,31046.96239
256,WHITBY ESTATE/PARK ROYAL/SPURAWAY,North Shore,Mini-Bus,Basic,18000,10000,8.6 km,20 km/h,160,81603,234,230,178,0,67%,491299,5448,Park Royal,None,20480.74208,2022,316,20480.74229
257,HORSESHOE BAY/VANCOUVER EXPRESS,North Shore,Artic. Bus,Standard,67000,144000,22.1 km,36 km/h,51,1165862,3060,3781,3243,1805,78%,3462770,32063,Horseshoe Bay; Park Royal; Stadium-Chinatown; Vancouver City Centre,Canada Line; Expo/Millennium Line,55884.04697,2022,317,55884.04645
262,LIONS BAY/CAULFEILD,North Shore,Mini-Bus,Basic,8000,1000,12.3 km,46 km/h,189,28333,83,78,56,2,83%,494133,5542,Caulfeild; Horseshoe Bay,None,47775.59985,2022,318,47775.59977
280,BLUEWATER/SNUG COVE,North Shore,Mini-Bus,Basic,1000,1000,12.1 km,29 km/h,191,24105,74,54,42,0,%,300462,4355,Snug Cove,None,21683.47723,2022,319,21683.4769
301,NEWTON EXCHANGE/BRIGHOUSE STATION,Southwest,Double Decker,Standard,75000,31000,29.6 km,35 km/h,48,1292139,4142,2355,2098,1005,80%,3808597,35265,Newton; Richmond-Brighouse; Scottsdale,Canada Line,82764.43555,2022,320,82764.43447
310,SCOTTSDALE/LADNER,Southeast,Std. Bus,Basic,31000,21000,22.3 km,35 km/h,108,431811,1294,991,894,116,73%,2252556,21885,Ladner; Matthews; Scottsdale,None,44695.25246,2022,321,44695.25366
311,SCOTTSDALE/BRIDGEPORT STN,Southeast,Double Decker,Peak Only - Limited,22000,19000,29.2 km,48 km/h,143,148690,592,0,0,0,88%,856048,7926,Bridgeport; Matthews; Scottsdale,Canada Line,82621.84662,2022,322,82621.84713
312,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Standard,38000,12000,11.5 km,27 km/h,75,796051,2420,1892,1457,1413,92%,2394470,22171,Scott Road; Scottsdale,Expo/Millennium Line,25087.3423,2022,323,25087.34207
314,SURREY CENTRAL/SUNBURY,Southeast,Std. Bus,Basic,58000,19000,7.6 km,22 km/h,113,380789,1219,751,578,392,84%,1075928,9962,King George; Surrey Central,Expo/Millennium Line,31756.75697,2022,324,31756.75654
316,SURREY CENTRAL STN/SCOTTSDALE,Southeast,Std. Bus,Basic,55000,14000,10.7 km,22 km/h,92,616293,1879,1717,895,688,83%,1683315,15586,Scottsdale; Surrey Central,Expo/Millennium Line,20498.45576,2022,325,20498.45529
319,SCOTT STN/NEWTON EXCH/SCOTTSDALE,Southeast,Std. Bus,All Day Frequent,45000,17000,10.7 km,23 km/h,4,6048972,18050,14554,12283,15091,80%,10486822,97100,Newton; Scott Road; Scottsdale,Expo/Millennium Line,36296.12022,2022,326,36296.11979
320,LANGLEY/FLEETWOOD/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,91000,45000,14.5 km,23 km/h,40,1639279,4860,4021,3392,3552,81%,5313827,49202,Cloverdale; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,58166.77239,2022,327,58166.77251
321,WHITE ROCK/NEWTON/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,124000,48000,23.2 km,26 km/h,26,2593921,7355,7228,6002,12579,71%,6827256,63215,Columbia; King George; New Westminster; Newton; Scott Road; South Surrey; Surrey Central; White Rock Centre,Expo/Millennium Line,93109.92143,2022,328,93109.92158
322,NEWTON EX/SCOTTSDALE,Southeast,Mini-Bus,Standard,53000,11000,14.7 km,24 km/h,103,493216,1534,986,917,1101,89%,1512419,21919,Newton; Scottsdale,None,33134.49406,2022,329,33134.36857
323,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,46000,26000,9.9 km,21 km/h,18,2944420,8719,7198,6156,11775,85%,5049848,46758,Newton; Surrey Central,Expo/Millennium Line,22680.12601,2022,330,22680.12586
324,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,49000,21000,10.3 km,21 km/h,55,1103692,3389,2435,2038,2178,89%,2291751,21220,Newton; Surrey Central,Expo/Millennium Line,18847.46187,2022,331,18847.46198
325,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard,42000,15000,7.5 km,21 km/h,66,974723,2960,2202,1890,2342,92%,1985540,18385,Newton; Surrey Central,Expo/Millennium Line,16208.32498,2022,332,16208.32505
326,GUILDFORD/SURREY CENTRAL STN,Southeast,Std. Bus,Basic,65000,24000,12.3 km,22 km/h,122,347041,1132,637,480,635,79%,1255988,11630,Guildford; King George; Surrey Central,Expo/Millennium Line,28599.96513,2022,333,28599.96522
329,SURREY CENTRAL STN/SCOTTSDALE,Southeast,Std. Bus,Basic,61000,22000,8.9 km,21 km/h,147,138184,473,373,0,45,85%,383405,3550,King George; Scottsdale; Surrey Central,Expo/Millennium Line,25818.01441,2022,334,25817.8386
335,NEWTON/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,99000,32000,13.9 km,23 km/h,22,2698993,8536,5623,4260,10717,79%,5773820,53461,Gateway; Guildford; Newton; Surrey Central,Expo/Millennium Line,47237.58418,2022,335,47237.58393
337,FRASER HEIGHTS/GUILDFORD/SURREY CTR,Southeast,Std. Bus,Peak Frequent,46000,17000,7.8 km,27 km/h,91,622503,1968,1228,1041,248,84%,2185976,22806,Guildford; Surrey Central,Expo/Millennium Line,24415.31113,2022,336,24415.31121
340,SCOTTSDALE/22ND ST,Southeast,Double Decker,Peak Frequent,25000,7000,16.6 km,38 km/h,63,991430,3068,2219,1708,60,92%,2831872,26221,22nd Street; Scottsdale,Expo/Millennium Line,46633.4509,2022,337,46633.45116
341,GUILDFORD/NEWTON EXCH,Southeast,Std. Bus,Standard,66000,18000,9.1 km,22 km/h,83,712142,2154,1622,1404,465,86%,2024962,18750,Guildford; Newton,None,24871.45124,2022,338,24871.45162
342,LANGLEY CENTRE/NEWTON EXCHANGE,Southeast,Std. Bus,Standard,54000,30000,21 km,27 km/h,52,1138291,3601,2404,1763,2179,81%,3886378,35985,Cloverdale; Langley Centre; Newton,None,50914.68303,2022,339,50914.68301
345,KING GEORGE STN/WHITE ROCK CENTRE,Southeast,Std. Bus,Basic,64000,20000,20.1 km,26 km/h,79,754572,3006,0,0,3235,80%,2469670,22867,King George; White Rock Centre,Expo/Millennium Line,52514.60452,2022,340,52514.60406
351,WHITE ROCK CTR/BRIDGEPORT STN,Southeast,Double Decker,All Day Frequent,31000,25000,38.3 km,49 km/h,56,1097874,3184,2877,2404,41,80%,6393870,59203,Bridgeport; Matthews; South Surrey; White Rock Centre,Canada Line,112771.5429,2022,341,112771.5423
352,OCEAN PARK /BRIDGEPORT STN,Southeast,Std. Bus,Peak Only - Limited,32000,13000,43.6 km,52 km/h,162,79928,318,0,0,0,84%,976734,9044,Bridgeport; South Surrey; White Rock Centre,Canada Line,115935.7678,2022,342,115935.7677
354,WHITE ROCK SOUTH/BRIDGEPORT STATION,Southeast,Std. Bus,Peak Only - Limited,48000,21000,45.6 km,43 km/h,155,90778,362,0,0,37,85%,815855,7554,Bridgeport; South Surrey; White Rock Centre,Canada Line,124217.8557,2022,343,124217.8556
360,OCEAN PARK/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Basic,29000,10000,12.3 km,29 km/h,175,51598,176,76,57,2,75%,608120,8813,White Rock Centre,None,20607.7381,2022,344,20607.73838
361,OCEAN PARK/WHITE ROCK CENTRE,Southeast,Mini-Bus,Basic,33000,11000,11.3 km,27 km/h,164,74422,244,134,99,13,85%,646831,9374,White Rock Centre,None,19923.96067,2022,345,19923.96059
362,SEASIDE/WHITE ROCK CENTRE,Southeast,Mini-Bus,Basic,22000,9000,3.7 km,19 km/h,170,64500,142,272,236,3,76%,364176,5278,White Rock Centre,None,10072.60049,2022,346,10072.60045
363,SOUTHPOINT/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Standard,43000,16000,12.1 km,24 km/h,146,142544,405,406,320,0,74%,1268119,18379,White Rock Centre,None,24150.78851,2022,347,24150.78802
364,LANGLEY CTR/ SCOTTSDALE,Southeast,Std. Bus,Standard,67000,26000,21.7 km,26 km/h,49,1262323,3849,2998,2262,2448,76%,3437474,31828,Langley Centre; Scottsdale,None,55646.88246,2022,348,55646.8827
371,SURREY CNTRL/SCOTT RD STN,Southeast,Mini-Bus,Basic,27000,16000,8.2 km,22 km/h,138,180108,591,342,225,55,82%,615613,8922,Gateway; Scott Road; Surrey Central,Expo/Millennium Line,15277.35209,2022,349,15277.35218
372,CLAYTON HEIGHTS/LANGLEY CENTRE,Southeast,Mini-Bus,Standard,32000,19000,11.1 km,23 km/h,149,118491,345,332,238,0,%,1050641,15227,Langley Centre,None,22991.59093,2022,350,22991.59136
373,GUILDFORD/ SURREY CNTRL STN,Southeast,Mini-Bus,Basic,55000,22000,10.2 km,22 km/h,107,455707,1378,1078,867,774,78%,1319484,18907,Gateway; Guildford; Surrey Central,Expo/Millennium Line,24320.45712,2022,351,24320.45677
375,WHITE ROCK/WHITE ROCK STH/GUILDFORD,Southeast,Std. Bus,Standard,73000,22000,22.8 km,26 km/h,84,704108,1730,2623,2152,551,70%,2659860,24628,Guildford; White Rock Centre,None,56367.18998,2022,352,56367.18985
388,22ND ST/CARVOLTH EXCH,Southeast,Std. Bus,Peak Only - Limited,46000,22000,26.3 km,30 km/h,123,321132,1279,0,0,116,73%,1561349,14457,22nd Street; Carvolth,Expo/Millennium Line,77111.18124,2022,353,77111.18055
391,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Peak Only - Limited,35000,11000,10.7 km,23 km/h,169,70839,282,0,0,117,90%,223483,2069,Scott Road; Scottsdale,Expo/Millennium Line,22783.61539,2022,354,22783.61504
393,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only - Limited,58000,23000,13.4 km,22 km/h,150,116774,465,0,0,510,87%,221969,2055,Newton; Surrey Central,Expo/Millennium Line,35125.2008,2022,355,35125.20049
394,WHITE ROCK/KING GEORGE STN EXPRESS,Southeast,Std. Bus,Peak Only - Limited,56000,24000,21.4 km,29 km/h,131,231832,924,0,0,114,72%,1268118,11742,King George; South Surrey,Expo/Millennium Line,57721.87202,2022,356,57721.87205
395,LANGLEY CENTRE/KING GEORGE STN,Southeast,Std. Bus,Peak Only - Limited,60000,32000,20.6 km,28 km/h,153,102449,408,0,0,291,79%,692951,6416,King George; Langley Centre,Expo/Millennium Line,48033.55797,2022,357,48033.55785
401,RICHMOND-BRIGHOUSE STN / ONE ROAD,Southwest,Std. Bus,Peak Frequent,51000,25000,9.4 km,24 km/h,62,1005163,3088,2296,1786,873,83%,3171735,29368,Richmond-Brighouse; Steveston,Canada Line,25652.11608,2022,358,25652.11659
402,TWO ROAD/BRIGHOUSE STATION,Southwest,Std. Bus,Peak Frequent,58000,24000,9.1 km,23 km/h,85,688245,2183,1361,1123,75,94%,2315531,21440,Richmond-Brighouse; Steveston,Canada Line,17586.12846,2022,359,17586.12884
403,BRIDGEPORT STN/THREE ROAD,Southwest,Std. Bus,Peak Frequent,58000,38000,11.9 km,22 km/h,45,1403085,4059,3793,3016,1323,84%,4087265,37845,Aberdeen; Bridgeport; Lansdowne; Richmond-Brighouse,Canada Line,28702.35652,2022,360,28702.35637
404,FOUR ROAD/BRIGHOUSE STATION,Southwest,Std. Bus,Standard,43000,20000,8.3 km,24 km/h,121,357588,1088,817,679,58,87%,1986818,18396,Richmond-Brighouse,Canada Line,17908.96185,2022,361,17908.96167
405,FIVE ROAD/CAMBIE,Southwest,Std. Bus,Basic,67000,40000,18.7 km,26 km/h,97,566473,1799,1095,936,27,75%,2446474,22653,Knight Street-Marine Drive; Lansdowne; Richmond-Brighouse,Canada Line,49994.91303,2022,362,49994.91273
406,RICHMOND BRIGHOUSE STN/STEVESTON,Southwest,Std. Bus,All Day Frequent,62000,23000,10 km,27 km/h,53,1129502,3364,2721,2318,838,96%,3915560,36255,Richmond-Brighouse; Steveston,Canada Line,22156.02329,2022,363,22156.02329
407,GILBERT/BRIDGEPORT,Southwest,Std. Bus,Standard,82000,48000,16.4 km,23 km/h,65,975985,3153,1715,1538,136,85%,3605710,33386,Bridgeport; Knight Street-Marine Drive; Richmond-Brighouse; Steveston,Canada Line,53617.54138,2022,364,53617.54095
408,BRIGHOUSE/IRONWOOD/RIVERPORT,Southwest,Std. Bus,Peak Frequent,55000,22000,8.3 km,24 km/h,61,1018730,3245,2053,1574,698,87%,2866000,26537,Richmond-Brighouse,Canada Line,19378.72437,2022,365,19378.72421
410,RICHMOND-BRIGHOUSE STN/22ND ST,Southwest,Std. Bus,All Day Frequent,55000,48000,18.4 km,28 km/h,19,2828525,8642,6438,5235,5307,76%,6959054,64436,22nd Street; Aberdeen; Lansdowne; Richmond-Brighouse,Canada Line; Expo/Millennium Line,67131.75953,2022,366,67131.75961
412,BRIDGEPORT STATION/SEA ISLAND SOUTH,Southwest,Mini-Bus,Basic,4000,7000,6.9 km,29 km/h,154,91072,349,65,0,4,93%,712016,7664,Bridgeport,Canada Line,15746.47797,2022,367,15746.47789
413,RIVERPORT/STEVESTON,Southwest,Mini-Bus,Basic,32000,8000,10.7 km,27 km/h,156,89588,273,225,150,8,79%,670879,9644,Steveston,None,23291.61106,2022,368,23291.6112
414,RICHMOND OVAL/BRIGHOUSE STN,Southwest,Mini-Bus,Basic,34000,22000,4.1 km,19 km/h,182,41110,141,109,0,0,76%,267847,3882,Richmond-Brighouse,Canada Line,12242.97628,2022,369,12242.97639
416,EAST CAMBIE/BRIGHOUSE STATION,Southwest,Mini-Bus,Peak Only - Limited,48000,31000,10.9 km,22 km/h,177,48937,195,0,0,13,77%,323553,4689,Lansdowne; Richmond-Brighouse,Canada Line,22598.43008,2022,370,22598.43031
418,KINGSWOOD/22ND ST,Southwest,Std. Bus,Peak Only - Limited,12000,6000,8.5 km,32 km/h,127,258178,1029,0,0,163,71%,754286,6984,22nd Street,Expo/Millennium Line,28432.21095,2022,371,28432.2112
430,METROTOWN/BRIGHOUSE STATION,Southwest,Std. Bus,Peak Frequent,91000,62000,18.9 km,23 km/h,34,1871908,5609,4542,3675,3974,72%,4405034,40787,Bridgeport; Metrotown; Richmond-Brighouse,Canada Line; Expo/Millennium Line,39050.31479,2022,372,39050.3143
501,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent,68000,41000,25.7 km,28 km/h,44,1409426,4504,3018,1968,4018,76%,4986833,46174,Carvolth; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,71141.1365,2022,373,71141.13656
502,LANGLEY CENTRE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,65000,23000,18.6 km,26 km/h,42,1498251,4360,4106,3072,2700,83%,6241032,57787,King George; Langley Centre; Surrey Central,Expo/Millennium Line,48838.73482,2022,374,48838.73489
503,ALDERGROVE/SURREY CENTRAL STN,Southeast,Std. Bus,All Day Frequent,79000,34000,22.5 km,30 km/h,35,1867687,5766,4105,3339,5537,82%,7954672,73654,King George; Langley Centre; Surrey Central,Expo/Millennium Line,82280.32794,2022,375,82280.32816
509,WALNUT GROVE/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only - Limited,68000,39000,19.5 km,35 km/h,165,73409,292,0,0,7,81%,702423,6504,Carvolth; Guildford; Langley Centre; Surrey Central,Expo/Millennium Line,84268.06722,2022,376,84268.06716
531,WHITE ROCK CENTRE/WILLOWBROOK,Southeast,Std. Bus,Standard,49000,31000,19.5 km,28 km/h,82,714551,2270,1397,1164,1522,89%,3091104,28621,Langley Centre; White Rock Centre,None,58381.3826,2022,377,58381.3827
555,CARVOLTH EXCH / LOUGHEED STN,Southeast,Double Decker,Peak Frequent,22000,12000,22.1 km,67 km/h,72,852545,2866,1395,977,711,95%,2150689,19914,Carvolth; Lougheed Town Centre,Expo/Millennium Line,66250.32823,2022,378,66250.32816
560/561,LANGLEY CENTRE/MURRAYVILLE–BROOKSWOOD,Southeast,Mini-Bus,Basic,40000,20000,11.1 km,26 km/h,166,73224,221,182,135,0,%,908661,13169,Langley Centre,None,43064.06583,2022,379,43064.0657
562,LANGLEY CENTRE/WALNUT GROVE,Southeast,Mini-Bus,Basic,33000,25000,21.1 km,35 km/h,141,158940,548,317,81,0,%,1107718,16054,Carvolth; Langley Centre,None,36449.93226,2022,380,36449.93262
563,LANGLEY CENTRE/FERNRIDGE,Southeast,Mini-Bus,Basic,24000,12000,12.7 km,33 km/h,172,60326,212,75,51,0,%,472865,6853,Langley Centre,None,27280.56301,2022,381,27280.5631
564,LANGLEY CTR/WILLOWBROOK,Southeast,Mini-Bus,Basic,21000,19000,11.7 km,25 km/h,184,35530,99,64,118,0,%,384359,5570,Langley Centre,None,25336.29671,2022,382,25336.29672
595,MAPLE MEADOWS STN/LANGLEY CENTRE,Southeast,Std. Bus,Standard,33000,22000,17.6 km,31 km/h,111,419581,1329,863,665,47,81%,1951907,18073,Carvolth; Langley Centre; Maple Meadows,West Coast Express,37387.66236,2022,383,37387.66243
601,SOUTH DELTA/BOUNDARY BAY/BRIDGEPORT,Southwest,Std. Bus,Peak Frequent,30000,13000,24.9 km,37 km/h,69,935276,2763,2318,1954,1069,81%,4854479,44949,Bridgeport; Ladner; South Delta,Canada Line,98272.20566,2022,384,98272.20606
602,TSAWWASSEN HEIGHTS/BRIDGEPORT,Southwest,Std. Bus,Peak Only - Limited,18000,9000,26.2 km,41 km/h,174,53377,213,0,0,0,82%,559111,5177,Bridgeport; South Delta,Canada Line,74921.54135,2022,385,74921.54165
603,BEACH GROVE/BRIDGEPORT,Southwest,Std. Bus,Peak Only - Limited,21000,9000,14.7 km,35 km/h,186,29460,117,0,0,0,84%,421456,3902,Bridgeport; South Delta,Canada Line,82747.70233,2022,386,82747.70232
604,ENGLISH BLUFF/BRIDGEPORT,Southwest,Std. Bus,Peak Only - Limited,21000,9000,16.6 km,35 km/h,190,26320,105,0,0,0,87%,421981,3907,Bridgeport; South Delta,Canada Line,82289.6057,2022,387,82289.60562
606,LADNER RING,Southwest,Std. Bus,Peak Only - Limited,17000,6000,5.5 km,26 km/h,204,3270,13,0,0,0,87%,129980,1204,Ladner,None,16430.42056,2022,388,16430.42064
608,LADNER RING,Southwest,Std. Bus,Peak Only - Limited,18000,7000,4.9 km,25 km/h,202,7052,28,0,0,0,95%,102559,950,Ladner,None,14549.78547,2022,389,14549.78549
609,TSAWWASSEN FIRST NATION/SOUTH DELTA,Southwest,Mini-Bus,Basic,9000,5000,6.5 km,22 km/h,194,13811,43,31,21,0,70%,419282,6077,South Delta,None,12079.84166,2022,390,12079.84131
614,ENGLISH BLUFF/SOUTH DELTA EXCH,Southwest,Mini-Bus,Basic,18000,5000,6.7 km,28 km/h,200,8270,24,22,18,0,82%,197143,2857,South Delta,None,19876.37333,2022,391,19876.37313
616,LADNER SOUTH/LADNER EXCH,Southwest,Mini-Bus,Basic,14000,6000,3.8 km,26 km/h,192,17692,59,30,20,0,92%,300047,4349,Ladner,None,11333.76228,2022,392,11333.76252
618,LADNER NORTH/LADNER EXCH,Southwest,Mini-Bus,Basic,16000,5000,4.3 km,27 km/h,195,13309,43,27,17,0,92%,297993,4319,Ladner,None,14958.03523,2022,393,14958.03516
