Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
371,SURREY CENTRAL STN/SCOTT RD STN,Southeast,Mini-Bus,Basic,28000,9000,8 km,22 km/h,143,202873,670,359,272,47,80%,565876,8201,Gateway; Scott Road; Surrey Central,Expo/Millennium Line,15041.7008,2019,143,15041.7008
372,CLAYTON HEIGHTS/LANGLEY CENTRE,Southeast,Mini-Bus,Standard,29000,14000,10.2 km,23 km/h,146,194002,620,360,328,,,1050052,15218,Langley Centre,None,22991.58872,2019,144,22991.58872
373,GUILDFORD EXCH/SURREY CENTRAL STN,Southeast,Mini-Bus,Basic,54000,16000,13.6 km,23 km/h,113,549304,1755,1078,876,601,66%,1071056,15442,Gateway; Guildford; Surrey Central,Expo/Millennium Line,24320.47083,2019,145,24320.47083
375,WHITE ROCK/WHITE ROCK SOUTH/GUILDFORD EXCH,Southeast,Std. Bus,Standard,73000,25000,22.2 km,26 km/h,83,1023013,2755,3200,2690,584,73%,2379713,22034,Guildford; White Rock Centre,None,56560.77249,2019,146,56560.77249
388,22ND ST STN/CARVOLTH EXCH,Southeast,Std. Bus,Peak Only Limited,44000,24000,33.3 km,32 km/h,122,379265,1520,0,0,210,68%,1432438,13263,22nd Street; Carvolth,Expo/Millennium Line,76927.68007,2019,147,76927.68007
391,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Peak Only Limited,33000,6000,9 km,23 km/h,166,121368,487,0,0,446,90%,209525,1940,Scott Road; Scottsdale,Expo/Millennium Line,22783.6188,2019,148,22783.6188
393,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only Limited,60000,19000,13.2 km,22 km/h,155,152159,610,0,0,607,85%,198202,1835,Newton; Surrey Central,Expo/Millennium Line,35125.19946,2019,149,35125.19946
394,WHITE ROCK/KING GEORGE STN EXPRESS,Southeast,Std. Bus,Peak Only Limited,53000,28000,20 km,28 km/h,150,159243,639,0,0,591,92%,492041,4556,King George; South Surrey; White Rock Centre,Expo/Millennium Line,55159.08532,2019,150,55159.08532
395,LANGLEY CENTRE/KING GEORGE STN,Southeast,Std. Bus,Peak Only Limited,59000,30000,20.4 km,28 km/h,145,199283,799,0,0,333,76%,671641,6219,King George; Langley Centre,Expo/Millennium Line,48033.53132,2019,151,48033.53132
401,ONE ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Peak Frequent,49000,18000,16.7 km,24 km/h,52,1792802,5776,3476,2716,717,85%,3719526,34440,Richmond-Brighouse; Steveston,Canada Line,27060.11148,2019,152,27060.11148
